OBJECTID,PA_ID,PA_PID,NAME,TYPE,TYPE_ABBR,IUCN,NRS_PA,NRS_MPA,GAZ_AREA,GIS_AREA,GAZ_DATE,LATEST_GAZ,STATE,AUTHORITY,DATASOURCE,GOVERNANCE,COMMENTS,ENVIRON,OVERLAP,MGT_PLAN,RES_NUMBER,ZONE_TYPE,EPBC,LONGITUDE,LATITUDE,PA_SYSTEM,Shape__Area,Shape__Length
1,VIC_4730,VIC_4730,Mumbannar N.C.R.,Natural Features Reserve,NFR,Ia,Y,,153.737,155.46214697,2006/04/06 00:00:00+00,2006/04/06 00:00:00+00,VIC,VIC_DEECA,VIC_DEECA,G,,T,1,N,4730,,State,141.10152635,-37.92475269,NRS,0.000159306068833748,0.0605142319595021
2,VIC_1748,VIC_1748,Noojee B.R,Natural Features Reserve,NFR,IV,Y,,66.919,66.91690345,1997/06/17 00:00:00+00,1997/06/17 00:00:00+00,VIC,VIC_DEECA,VIC_DEECA,G,,T,1,N,1748,,State,146.00315604,-37.89976908,NRS,6.85468976252285e-05,0.0463777696364804
4,WA_38395,WA_38395,Unnamed WA38395,Nature Reserve,NR,Ia,Y,,70.2198,70.20458469,1983/07/29 00:00:00+00,1983/07/29 00:00:00+00,WA,WA_DBCA,WA_DBCA,G,,T,1,I,WA38395,,State,118.01629064,-32.12159805,NRS,6.70880510580305e-05,0.0632985768667483
5,SA_1417,SA_1417,Unnamed (No.HA1417),Heritage Agreement,HA,III,Y,,1908.81766938,1914.77467016,2008/02/21 00:00:00+00,2008/02/21 00:00:00+00,SA,SA_DEW,SA_DEW,P,,T,1,N,SA_1417,,State,139.45925639,-34.412814,NRS,0.00187751068960669,0.172091093619891
6,SA_1553,SA_1553,Unnamed (No.HA1553),Heritage Agreement,HA,III,Y,,592.84240592,594.06327462,2016/08/11 00:00:00+00,2016/08/11 00:00:00+00,SA,SA_DEW,SA_DEW,P,,T,1,N,SA_1553,,State,137.19783839,-35.04584355,NRS,0.000586893354052537,0.108326018179745
7,NSW_FR75,NSW_FR75,Nullica,Flora Reserve,FLR,Ia,Y,,21,20.78488559,1985/10/18 00:00:00+00,1985/10/18 00:00:00+00,NSW,FC_NSW,FC_NSW,G,,T,1,M,FR75,,State,149.77369141,-37.10924789,NRS,2.1070745784652e-05,0.0204870682891143
8,NSW_N0401,NSW_N0401,Barren Grounds,Nature Reserve,NR,II,Y,,2041.2058,2065.1302749,1956/01/13 00:00:00+00,2009/07/17 00:00:00+00,NSW,NSW_DCCEEW,NSW_DCCEEW,G,,T,1,M,N0401,,State,150.73013375,-34.70047519,NRS,0.00203167746224394,0.349846992032234
9,SA_9014,SA_9014,Unnamed (No.HA9014),Heritage Agreement,HA,III,Y,,8.31952128,8.33534569,1982/09/16 00:00:00+00,1982/09/16 00:00:00+00,SA,SA_DEW,SA_DEW,P,,T,1,N,SA_9014,,State,139.19858499,-35.1314819,NRS,8.2434301739e-06,0.0123706356712115
11,SA_485,SA_485,Unnamed (No.HA485),Heritage Agreement,HA,III,Y,,465.71520827,467.21403234,1991/04/18 00:00:00+00,1991/04/18 00:00:00+00,SA,SA_DEW,SA_DEW,P,,T,1,N,SA_485,,State,140.0610654,-34.33809144,NRS,0.000457759806442953,0.17605088135815
12,CWTH_160,CWTH_160,Frazier Islands,Antarctic Specially Protected Area,ASPA,Ia,Y,,0,61.79135762,2003/01/01 00:00:00+00,2013/08/27 00:00:00+00,EXT,AAD,AAD,G,,T,1,M,160,,Commonwealth,110.18511544,-66.23030374,NRS,0.000119337053544634,0.13201918832881
13,CWTH_169,CWTH_169,Amanda Bay,Antarctic Specially Protected Area,ASPA,Ia,Y,,0,1737.63763227,2008/09/11 00:00:00+00,2014/08/05 00:00:00+00,EXT,AAD,AAD,G,,T,1,M,169,,Commonwealth,76.84522559,-69.25360706,NRS,0.00389838412103679,0.387428645147006
14,CWTH_167,CWTH_167,Hawker Island,Antarctic Specially Protected Area,ASPA,Ia,Y,,0,220.66509935,2006/09/21 00:00:00+00,2011/09/29 00:00:00+00,EXT,AAD,AAD,G,,T,1,M,167,,Commonwealth,77.85657232,-68.6357189,NRS,0.000479311615665234,0.18391225054693
15,CWTH_136,CWTH_136,Clark Peninsula,Antarctic Specially Protected Area,ASPA,Ia,Y,,0,967.81770063,1985/01/01 00:00:00+00,2000/01/01 00:00:00+00,EXT,AAD,AAD,G,,T,1,M,136,,Commonwealth,110.5820107,-66.2523604,NRS,0.00187101116776225,0.399263797264702
16,CWTH_103,CWTH_103,Ardery Island and Odbert Island,Antarctic Specially Protected Area,ASPA,Ia,Y,,0,251.35392643,1966/01/01 00:00:00+00,2015/10/31 00:00:00+00,EXT,AAD,AAD,G,,T,1,M,103,,Commonwealth,110.53976429,-66.37356415,NRS,0.000488728161437439,0.192228705369532
17,CWTH_6,CWTH_6,Larsemann Hills,Antarctic Specially Managed Area,ASMA,Ia,Y,,0,23896.75340596,2007/08/06 00:00:00+00,2014/08/05 00:00:00+00,EXT,AAD,AAD,G,,T,1,M,6,,Commonwealth,76.2217413,-69.40833348,NRS,0.0540104874282114,1.23930049798588
18,CWTH_162,CWTH_162,Mawson's Huts,Antarctic Specially Protected Area,ASPA,Ia,Y,,0,104.07333071,2014/08/05 00:00:00+00,2014/06/26 00:00:00+00,EXT,AAD,AAD,G,,T,1,M,162,,Commonwealth,142.66610087,-67.00846755,NRS,0.000208557224611494,0.108077026575883
19,CWTH_102,CWTH_102,Rookery Islands,Antarctic Specially Protected Area,ASPA,Ia,Y,,0,85.27201927,1966/01/01 00:00:00+00,2015/10/31 00:00:00+00,EXT,AAD,AAD,G,,T,1,M,102,,Commonwealth,62.50090659,-67.61152906,NRS,0.000175879377692518,0.520311511845321
20,CWTH_143,CWTH_143,Marine Plain,Antarctic Specially Protected Area,ASPA,Ia,Y,,0,2076.56303616,1987/01/01 00:00:00+00,2013/08/27 00:00:00+00,EXT,AAD,AAD,G,,T,1,M,143,,Commonwealth,78.14690859,-68.63100089,NRS,0.00450975082395327,0.467641641226182
21,CWTH_174,CWTH_174,Stornes,Antarctic Specially Protected Area,ASPA,Ia,Y,,0,0.003009,2014/08/05 00:00:00+00,2014/08/05 00:00:00+00,EXT,AAD,AAD,G,,T,1,M,174,,Commonwealth,76.05812655,-69.4775791,NRS,6.8273080875e-09,0.007759385583489
