Terrestrial Protected Areas by IBRA Bioregions in Australia (2024),,,,,,,
IBRA Region Name,IBRA Region Code,Jurisdiction(s),Jurisdiction(s) with Protected Area(s),IBRA Area (ha),1Area Protected (ha),% IBRA Region Protected,Contribution to NRS (%)
Arnhem Coast,ARC,NT,NT,"3,335,669","1,809,069",54.23,1.04
Arnhem Plateau,ARP,NT,NT,"2,306,023","1,728,647",74.96,1
Australian Alps,AUA,"ACT, NSW, VIC","ACT, NSW, VIC","1,232,986","789,187",64.01,0.46
Avon Wheatbelt,AVW,WA,WA,"9,517,104","425,499",4.47,0.25
Ben Lomond,BEL,TAS,TAS,"657,500","107,168",16.3,0.06
Brigalow Belt North,BBN,QLD,QLD,"13,674,533","329,113",2.41,0.19
Brigalow Belt South,BBS,"NSW, QLD","NSW, QLD","27,219,895","1,501,809",5.52,0.87
Broken Hill Complex,BHC,"NSW, SA","NSW, SA","5,635,422","328,110",5.82,0.19
Burt Plain,BRT,NT,NT,"7,379,719","493,241",6.68,0.28
Cape York Peninsula,CYP,QLD,QLD,"12,256,457","4,752,326",38.77,2.74
Carnarvon,CAR,WA,WA,"8,430,172","1,230,855",14.6,0.71
Central Arnhem,CEA,NT,NT,"3,462,433","1,179,902",34.08,0.68
Central Kimberley,CEK,WA,WA,"7,675,587","2,385,270",31.08,1.38
Central Mackay Coast,CMC,QLD,QLD,"1,464,208","219,670",15,0.13
Central Ranges,CER,"NT, SA, WA","NT, SA, WA","10,164,044","8,265,173",81.32,4.77
Channel Country,CHC,"NSW, NT, QLD, SA","NSW, QLD, SA","30,409,437","3,357,359",11.04,1.94
Cobar Peneplain,COP,NSW,NSW,"7,385,346","240,527",3.26,0.14
Coolgardie,COO,WA,WA,"12,912,209","4,857,338",37.62,2.8
Coral Sea,COS,EXT,-,"17,167", -   ,0,0
Daly Basin,DAB,NT,NT,"2,092,229","219,031",10.47,0.13
Dampierland,DAL,WA,WA,"8,360,871","1,237,419",14.8,0.71
Darling Riverine Plains,DRP,"NSW, QLD","NSW, QLD","10,699,768","325,635",3.04,0.19
Darwin Coastal,DAC,NT,NT,"2,843,199","878,566",30.9,0.51
Davenport Murchison Ranges,DMR,NT,NT,"5,805,108","129,829",2.24,0.07
Desert Uplands,DEU,QLD,QLD,"6,941,095","233,815",3.37,0.13
Einasleigh Uplands,EIU,QLD,QLD,"11,625,726","937,043",8.06,0.54
Esperance Plains,ESP,WA,WA,"2,921,327","855,729",29.29,0.49
Eyre Yorke Block,EYB,SA,SA,"6,120,409","928,335",15.17,0.54
Finke,FIN,"NT, SA","NT, SA","7,267,416","334,544",4.6,0.19
Flinders Lofty Block,FLB,SA,SA,"6,615,765","602,444",9.11,0.35
Furneaux,FUR,"TAS, VIC","TAS, VIC","537,543","184,954",34.41,0.11
Gascoyne,GAS,WA,WA,"18,075,257","2,908,908",16.09,1.68
Gawler,GAW,SA,SA,"12,002,883","1,963,876",16.36,1.13
Geraldton Sandplains,GES,WA,WA,"3,142,149","599,426",19.08,0.35
Gibson Desert,GID,WA,WA,"15,628,918","9,127,292",58.4,5.27
Great Sandy Desert,GSD,"NT, WA","NT, WA","39,486,135","19,709,622",49.92,11.37
Great Victoria Desert,GVD,"SA, WA","SA, WA","42,246,564","18,151,680",42.97,10.47
Gulf Coastal,GUC,NT,NT,"2,711,718","717,329",26.45,0.41
Gulf Fall and Uplands,GFU,"NT, QLD","NT, QLD","11,847,909","2,890,528",24.4,1.67
Gulf Plains,GUP,"NT, QLD",QLD,"22,041,825","1,644,177",7.46,0.95
Hampton,HAM,"SA, WA","SA, WA","1,088,198","159,317",14.64,0.09
Indian Tropical Islands,ITI,"EXT, WA","EXT, WA","27,329","8,670",31.73,0.01
Jarrah Forest,JAF,WA,WA,"4,509,074","673,978",14.95,0.39
Kanmantoo,KAN,SA,SA,"812,415","166,965",20.55,0.1
King,KIN,TAS,TAS,"425,567","84,577",19.87,0.05
Little Sandy Desert,LSD,WA,WA,"11,089,857","5,250,145",47.34,3.03
MacDonnell Ranges,MAC,NT,NT,"3,929,444","579,748",14.75,0.33
Mallee,MAL,WA,WA,"7,397,559","2,356,861",31.86,1.36
Mitchell Grass Downs,MGD,"NT, QLD","NT, QLD","33,468,762","522,718",1.56,0.3
Mount Isa Inlier,MII,"NT, QLD","NT, QLD","6,778,261","437,410",6.45,0.25
Mulga Lands,MUL,"NSW, QLD","NSW, QLD","25,188,333","1,252,464",4.97,0.72
Murchison,MUR,WA,WA,"28,120,554","1,967,618",7,1.14
Murray Darling Depression,MDD,"NSW, SA, VIC","NSW, SA, VIC","19,958,367","3,473,088",17.4,2
NSW North Coast,NNC,NSW,NSW,"3,996,473","1,060,807",26.54,0.61
NSW South Western Slopes,NSS,"NSW, VIC","NSW, VIC","8,681,088","289,691",3.34,0.17
Nandewar,NAN,"NSW, QLD","NSW, QLD","2,701,961","123,945",4.59,0.07
Naracoorte Coastal Plain,NCP,"SA, VIC","SA, VIC","2,458,215","237,677",9.67,0.14
New England Tablelands,NET,"NSW, QLD","NSW, QLD","3,002,229","322,109",10.73,0.19
Northern Kimberley,NOK,WA,WA,"8,420,100","5,199,178",61.75,3
Nullarbor,NUL,"SA, WA","SA, WA","19,722,774","10,834,532",54.93,6.25
Ord Victoria Plain,OVP,"NT, WA","NT, WA","12,540,703","1,487,820",11.86,0.86
Pacific Subtropical Islands,PSI,"EXT, NSW","EXT, NSW","5,817","1,983",34.1,0
Pilbara,PIL,WA,WA,"17,823,126","1,565,213",8.78,0.9
Pine Creek,PCK,NT,NT,"2,851,777","1,217,059",42.68,0.7
Riverina,RIV,"NSW, SA, VIC","NSW, SA, VIC","9,704,503","627,711",6.47,0.36
Simpson Strzelecki Dunefields,SSD,"NSW, NT, QLD, SA","NSW, NT, QLD, SA","27,984,283","8,640,902",30.88,4.99
South East Coastal Plain,SCP,VIC,VIC,"1,749,237","162,453",9.29,0.09
South East Corner,SEC,"NSW, VIC","NSW, VIC","2,532,053","932,855",36.84,0.54
South Eastern Highlands,SEH,"ACT, NSW, VIC","ACT, NSW, VIC","8,375,943","1,584,083",18.91,0.91
South Eastern Queensland,SEQ,"NSW, QLD","NSW, QLD","7,804,921","1,155,827",14.81,0.67
Southern Volcanic Plain,SVP,"SA, VIC","SA, VIC","2,440,340","55,928",2.29,0.03
Stony Plains,STP,"NT, SA",SA,"13,166,372","1,175,979",8.93,0.68
Sturt Plateau,STU,NT,NT,"9,857,531","68,872",0.7,0.04
Subantarctic Islands,SAI,EXT,-,"49,164", -   ,0,0
Swan Coastal Plain,SWA,WA,WA,"1,525,798","176,391",11.56,0.1
Sydney Basin,SYB,"JBT, NSW","JBT, NSW","3,629,597","1,549,185",42.68,0.89
Tanami,TAN,"NT, WA","NT, WA","25,997,277","11,608,908",44.65,6.7
Tasmanian Central Highlands,TCH,TAS,TAS,"767,849","467,482",60.88,0.27
Tasmanian Northern Midlands,TNM,TAS,TAS,"415,445","28,004",6.74,0.02
Tasmanian Northern Slopes,TNS,TAS,TAS,"623,103","101,950",16.36,0.06
Tasmanian South East,TSE,TAS,TAS,"1,106,928","176,205",15.92,0.1
Tasmanian Southern Ranges,TSR,TAS,TAS,"782,121","425,195",54.36,0.25
Tasmanian West,TWE,TAS,TAS,"1,565,077","1,350,554",86.29,0.78
Tiwi Cobourg,TIW,NT,NT,"1,010,580","204,361",20.22,0.12
Victoria Bonaparte,VIB,"NT, WA","NT, WA","7,301,242","1,275,389",17.47,0.74
Victorian Midlands,VIM,VIC,VIC,"3,469,789","403,912",11.64,0.23
Warren,WAR,WA,WA,"844,771","396,540",46.94,0.23
Wet Tropics,WET,QLD,QLD,"1,989,107","1,064,944",53.54,0.61
Yalgoo,YAL,WA,WA,"5,087,577","1,809,007",35.56,1.04
Total,,,,"768,928,319","173,296,651",22.54,
,,,,,,,
,,,,,,,
,,,,,,,
1. Area is based on calculated GIS_AREA data (rather than gazetted areas). GIS_AREA is the area in hectares based on current spatial data and an Albers equal area projection for Australia. ,,,,,,,
,,,,,,,
*IBRA regions do not extend to the Antarctic land and water areas.,,,,,,,
*Some protected areas or parts of protected areas are not within IBRA regions/subregions (e.g. ASMAs and ASPAs are not reported). Only the protected area within IBRA regions/subregions are included in the table above. Therefore the total area protected reported here may be slightly less than in the 'Type' and 'IUCN Category' tabs. Overlaps are excluded from this table.,,,,,,,
* Only protected areas that meet the standard for inclusion in the NRS are included in this table. For details see the Technical Specification document at - https://www.dcceew.gov.au/environment/land/nrs/science/capad/2024.,,,,,,,
* Both the Subantarctic Islands and Coral Sea Bioregions are 100% protected by reserves that are represented in the Marine CAPAD statistics. The Subantarctic Islands Bioregion is protected by the Heard and McDonald Island Marine Reserve and Macquarie Island Nature Reserve. The Coral Sea Bioregion is protected by the Coral Sea Australian Marine Park. See the Marine CAPAD spreadsheets.,,,,,,,
"*IBRA protection values are calculated using IBRA 7.1 (published 2025). Prior to CAPAD 2024, IBRA 7.0 was used.",,,,,,,
