Bioregion,IUCN_Category,ProtectedArea,,,,,
Great Sandy Desert,Ia,17733,,,,,
Great Sandy Desert,Ib,0,,,,,
Great Sandy Desert,II,1384057,,,,,
Great Sandy Desert,III,594016,,,,,
Great Sandy Desert,IV,1597254,,,,,
Great Sandy Desert,V,16797,,,,,
Great Sandy Desert,VI,16099766,,,,,
Great Victoria Desert,Ia,3591100,,,,,
Great Victoria Desert,Ib,493163,,,,,
Great Victoria Desert,II,2203,,,,,
Great Victoria Desert,III,15253,,,,,
Great Victoria Desert,IV,0,,,,,
Great Victoria Desert,V,0,,,,,
Great Victoria Desert,VI,14049961,,,,,
Tanami,Ia,0,,,,,
Tanami,Ib,0,,,,,
Tanami,II,54403,,,,,
Tanami,III,0,,,,,
Tanami,IV,0,,,,,
Tanami,V,0,,,,,
Tanami,VI,11554505,,,,,
Nullarbor,Ia,2521332,,,,,
Nullarbor,Ib,852033,,,,,
Nullarbor,II,0,,,,,
Nullarbor,III,19965,,,,,
Nullarbor,IV,0,,,,,
Nullarbor,V,462621,,,,,
Nullarbor,VI,6978581,,,,,
Gibson Desert,Ia,1845696,,,,,
Gibson Desert,Ib,0,,,,,
Gibson Desert,II,0,,,,,
Gibson Desert,III,127524,,,,,
Gibson Desert,IV,0,,,,,
Gibson Desert,V,0,,,,,
Gibson Desert,VI,7154071,,,,,
Simpson Strzelecki Dunefields,Ia,753139,,,,,
Simpson Strzelecki Dunefields,Ib,0,,,,,
Simpson Strzelecki Dunefields,II,1817513,,,,,
Simpson Strzelecki Dunefields,III,396,,,,,
Simpson Strzelecki Dunefields,IV,302901,,,,,
Simpson Strzelecki Dunefields,V,0,,,,,
Simpson Strzelecki Dunefields,VI,5766952,,,,,
Central Ranges,Ia,0,,,,,
Central Ranges,Ib,0,,,,,
Central Ranges,II,0,,,,,
Central Ranges,III,0,,,,,
Central Ranges,IV,0,,,,,
Central Ranges,V,0,,,,,
Central Ranges,VI,8265173,,,,,
Little Sandy Desert,Ia,0,,,,,
Little Sandy Desert,Ib,0,,,,,
Little Sandy Desert,II,514038,,,,,
Little Sandy Desert,III,386106,,,,,
Little Sandy Desert,IV,0,,,,,
Little Sandy Desert,V,0,,,,,
Little Sandy Desert,VI,4350000,,,,,
Northern Kimberley,Ia,4520,,,,,
Northern Kimberley,Ib,0,,,,,
Northern Kimberley,II,1517386,,,,,
Northern Kimberley,III,0,,,,,
Northern Kimberley,IV,0,,,,,
Northern Kimberley,V,1176270,,,,,
Northern Kimberley,VI,2501001,,,,,
Coolgardie,Ia,984437,,,,,
Coolgardie,Ib,0,,,,,
Coolgardie,II,564227,,,,,
Coolgardie,III,0,,,,,
Coolgardie,IV,0,,,,,
Coolgardie,V,0,,,,,
Coolgardie,VI,3308674,,,,,
