"Supplied Name","verbatimScientificName","vernacularName","rawFamily","sourceStatus","status","IUCN_equivalent_status","taxonRank","guid","scientificName","genus","family","order","class","phylum","kingdom","vernacularName","matchType","nameType"
"Litoria spenceri","Litoria spenceri","Spotted Tree Frog","Pelodryadidae","Critically Endangered","Critically Endangered","Critically Endangered","","https://biodiversity.org.au/afd/taxa/68f1f148-9451-4fbd-b906-3f99f30908d5","Litoria spenceri","Litoria","Pelodryadidae","Anura","Amphibia","Chordata","Animalia","Spotted Tree Frog","exactMatch",
"Liopholis slateri slateri","Liopholis slateri slateri","Slater's Skink, Floodplain Skink","Scincidae","Endangered","Endangered","Endangered","","https://biodiversity.org.au/afd/taxa/59bf58b8-6ba6-4785-8b21-6e3da37d1587","Liopholis slateri slateri","Liopholis","Scincidae","Squamata","Reptilia","Chordata","Animalia","Floodplain Skink","exactMatch",
"Eucalyptus camfieldii","Eucalyptus camfieldii","Camfield's Stringybark","Myrtaceae","Vulnerable","Vulnerable","Vulnerable","","https://id.biodiversity.org.au/node/apni/2886929","Eucalyptus camfieldii","Eucalyptus","Myrtaceae","Myrtales","Equisetopsida","Charophyta","Plantae","Camfield's Stringybark","exactMatch",
"Banksia serratuloides subsp. perissa","Banksia serratuloides subsp. perissa","Northern Serrate Dryandra","Proteaceae","Critically Endangered","Critically Endangered","Critically Endangered","","https://id.biodiversity.org.au/node/apni/2887940","Banksia serratuloides subsp. perissa","Banksia","Proteaceae","Proteales","Equisetopsida","Charophyta","Plantae","Northern Serrate Dryandra","exactMatch",
"Phyllurus caudiannulatus","Phyllurus caudiannulatus","Ringed Thin-tail Gecko","Gekkonidae","Endangered","Endangered","Endangered","","https://biodiversity.org.au/afd/taxa/c64f7dd8-8dbc-4686-b3ac-e7adb2b67bc3","Phyllurus caudiannulatus","Phyllurus","Carphodactylidae","Squamata","Reptilia","Chordata","Animalia","Ringed Thin-tail Gecko","exactMatch",
"Diuris venosa","Diuris venosa","Veined Doubletail, Goat Orchid, Veined Donkey-orchid","Orchidaceae","Vulnerable","Vulnerable","Vulnerable","","https://id.biodiversity.org.au/taxon/apni/51404365","Diuris venosa","Diuris","Orchidaceae","Asparagales","Equisetopsida","Charophyta","Plantae","Veined Doubletail","exactMatch",
"Bertya opponens","Bertya opponens","-","Euphorbiaceae","Vulnerable","Vulnerable","Vulnerable","","https://id.biodiversity.org.au/node/apni/2914143","Bertya opponens","Bertya","Euphorbiaceae","Malpighiales","Equisetopsida","Charophyta","Plantae","Coolabah Bertya","exactMatch",
"Marattia salicina","Marattia salicina","King Fern, Para, Potato Fern","Marattiaceae","Endangered","Endangered","Endangered","","https://id.biodiversity.org.au/node/apni/2919978","Ptisana salicina","Ptisana","Marattiaceae","Marattiales","Equisetopsida","Charophyta","Plantae",,"exactMatch",
"Lambertia echinata subsp. echinata","Lambertia echinata subsp. echinata","Prickly Honeysuckle","Proteaceae","Endangered","Endangered","Endangered","","https://id.biodiversity.org.au/node/apni/2901277","Lambertia echinata subsp. echinata","Lambertia","Proteaceae","Proteales","Equisetopsida","Charophyta","Plantae","Prickly Honeysuckle","exactMatch",
"Turnix melanogaster","Turnix melanogaster","Black-breasted Button-quail","Turnicidae","Vulnerable","Vulnerable","Vulnerable","","https://biodiversity.org.au/afd/taxa/e728bc3c-6c80-42ac-b2d8-9ee66e82fe85","Turnix (Austroturnix) melanogaster","Turnix","Turnicidae","Turniciformes","Aves","Chordata","Animalia","Black-breasted Button-quail","exactMatch",
