IBRA Region Code,IBRA Subregion Name,IBRA Subregion Code,Jurisdictions,Jurisdiction(s) with Protected Area(s),Subregion Area (ha),Area Protected (ha),% IBRA Subregion Protected,Contribution to NRS (%)
DEU,Alice Tableland,DEU02,QLD,QLD,2866760.00,145486.00,5.07,0.08
ARP,Alligator,ARP01,NT,NT,1038621.00,965535.00,92.96,0.56
GSD,Amedeus,GSD04,NT,NT,722845.00,684481.00,94.69,0.39
BBN,Anakie Inlier,BBN09,QLD,QLD,382284.00,196.00,0.05,0
SSD,Andado,SSD01,NT,-,1355195.00, -   ,0,0
VIB,Angalarri,VIB03,NT,NT,689004.00,7118.00,1.03,0
BBS,Arcadia,BBS06,QLD,QLD,715288.00,114028.00,15.94,0.07
GAW,Arcoona Plateau,GAW04,SA,SA,1089865.00,1046.00,0.1,0
NET,Armidale Plateau,NET04,NSW,NSW,290577.00,10116.00,3.48,0.01
GUP,Armraynald Plains,GUP02,QLD,QLD,1589437.00,11054.00,0.7,0.01
GAS,Ashburton,GAS01,WA,WA,3687030.00,394044.00,10.69,0.23
DMR,Ashburton Range,DMR01,NT,NT,1218621.00,209.00,0.02,0
BRT,Atartinga,BRT02,NT,NT,3531111.00,112944.00,3.2,0.07
WET,Atherton,WET04,QLD,QLD,177037.00,47952.00,27.09,0.03
GAS,Augustus,GAS03,WA,WA,9669571.00,997749.00,10.32,0.58
STP,Baltana,STP07,SA,SA,2688870.00,45436.00,1.69,0.03
BBS,Banana-Auburn Ranges,BBS08,QLD,QLD,1547555.00,12251.00,0.79,0.01
BBS,Barakula,BBS13,QLD,QLD,1301712.00,7867.00,0.6,0
DMR,Barkly,DMR03,NT,-,2996897.00, -   ,0,0
MGD,Barkly Tableland,MGD02,"NT,QLD","NT, QLD",9479614.00,168015.00,1.77,0.1
COP,Barnato Downs,COP02,NSW,NSW,1773542.00,97962.00,5.52,0.06
BHC,Barrier Range,BHC01,"NSW,SA","NSW, SA",1802996.00,97284.00,5.4,0.06
BHC,Barrier Range Outwash,BHC04,"NSW,SA","NSW, SA",1954973.00,17689.00,0.9,0.01
NNC,Barrington,NNC13,NSW,NSW,110903.00,72803.00,65.65,0.04
BBN,Basalt Downs,BBN10,QLD,QLD,1274731.00,15362.00,1.21,0.01
SEC,Bateman,SEC03,NSW,NSW,174020.00,28271.00,16.25,0.02
SEH,Bathurst,SEH11,NSW,NSW,161486.00,4934.00,3.06,0
CYP,Battle Camp Sandstones,CYP05,QLD,QLD,504409.00,187012.00,37.08,0.11
NET,Beardy River Hills,NET02,NSW,NSW,24625.00,55.00,0.22,0
WET,Bellenden Ker-Lamb,WET07,QLD,QLD,271062.00,212334.00,78.33,0.12
BBN,Belyando Downs,BBN07,QLD,QLD,1772127.00,33295.00,1.88,0.02
BEL,Ben Lomond,BEL01,TAS,TAS,657500.00,107168.00,16.3,0.06
NOK,Berkeley,NOK02,WA,WA,2449185.00,1587513.00,64.82,0.92
BBN,Beucazon Hills,BBN04,QLD,-,95821.00, -   ,0,0
BHC,Bimbowrie,BHC05,SA,SA,279258.00,87598.00,31.37,0.05
NET,Binghi Plateau,NET14,NSW,NSW,64555.00,31078.00,48.14,0.02
STU,Birdum,STU03,NT,NT,3584736.00,8734.00,0.24,0.01
DRP,Bogan-Macquarie,DRP04,NSW,NSW,1999951.00,33480.00,1.67,0.02
BBN,Bogie River Hills,BBN02,QLD,QLD,1054392.00,52352.00,4.97,0.03
SEH,Bondo,SEH14,"ACT,NSW","ACT, NSW",542032.00,248512.00,45.85,0.14
BBS,Boomer Range,BBS03,QLD,QLD,220541.00,25721.00,11.66,0.01
COP,Boorindal Plains,COP01,NSW,NSW,400236.00,44931.00,11.23,0.03
MDD,Braemer,MDD07,"NSW,SA",SA,1032815.00,3488.00,0.34,0
STP,Breakaways,STP01,"NT,SA",SA,2444385.00,342689.00,14.02,0.2
NCP,Bridgewater,NCP01,"SA,VIC","SA, VIC",463723.00,52639.00,11.35,0.03
SEQ,Brisbane-Barambah Volcanics,SEQ05,QLD,QLD,806778.00,63839.00,7.91,0.04
EIU,Broken River,EIU04,QLD,QLD,3309590.00,106333.00,3.21,0.06
FLB,Broughton,FLB02,SA,SA,1032918.00,5335.00,0.52,0
BBS,Buckland Basalts,BBS09,QLD,QLD,281306.00,118721.00,42.2,0.07
CHC,Bulloo,CHC11,"NSW,QLD","NSW, QLD",1077480.00,334675.00,31.06,0.19
CHC,Bulloo Dunefields,CHC12,"NSW,QLD",-,1326712.00, -   ,0,0
NET,Bundarra Downs,NET01,NSW,NSW,151867.00,3462.00,2.28,0
SEH,Bungonia,SEH07,NSW,NSW,431185.00,98641.00,22.88,0.06
SEQ,Burnett-Curtis Coastal Lowlands,SEQ08,QLD,QLD,700181.00,52542.00,7.5,0.03
SEQ,Burnett-Curtis Hills and Ranges,SEQ01,QLD,QLD,962583.00,168093.00,17.46,0.1
SYB,Burragorang,SYB09,NSW,NSW,257572.00,139515.00,54.17,0.08
SEQ,Burringbar-Conondale Ranges,SEQ03,"NSW,QLD","NSW, QLD",630616.00,119303.00,18.92,0.07
CMC,Byfield,CMC04,QLD,QLD,127697.00,7849.00,6.15,0
BBS,Callide Creek Downs,BBS05,QLD,QLD,301303.00,590.00,0.2,0
OVP,Camfield,OVP04,NT,NT,828712.00,2493.00,0.3,0
COP,Canbelego Downs,COP03,NSW,NSW,2001425.00,43567.00,2.18,0.03
CAR,Cape Range,CAR01,WA,WA,2380498.00,436541.00,18.34,0.25
BBN,Cape River Hills,BBN03,QLD,QLD,747993.00,1647.00,0.22,0
CYP,Cape York-Torres Strait,CYP03,QLD,QLD,94367.00,578.00,0.61,0
DEU,Cape-Campaspe Plains,DEU03,QLD,QLD,1007026.00,13693.00,1.36,0.01
SEH,Capertee Uplands,SEH17,NSW,NSW,80494.00,12933.00,16.07,0.01
NSS,Capertee Valley,NSS03,NSW,NSW,101460.00,15670.00,15.44,0.01
NUL,Carlisle,NUL01,"SA,WA","SA, WA",5788547.00,4865023.00,84.05,2.81
BBS,Carnarvon Ranges,BBS10,QLD,QLD,2263686.00,341256.00,15.08,0.2
GAS,Carnegie,GAS02,WA,WA,4718656.00,1517114.00,32.15,0.88
NNC,Carrai Plateau,NNC08,NSW,NSW,20100.00,15318.00,76.21,0.01
DRP,Castlereagh-Barwon,DRP03,"NSW,QLD",NSW,4500354.00,35957.00,0.8,0.02
NNC,Cataract,NNC02,NSW,NSW,121219.00,6865.00,5.66,0
GVD,Central,GVD02,WA,WA,12590867.00,3793693.00,30.13,2.19
CHC,Central Depression,CHC13,NSW,NSW,580685.00,12719.00,2.19,0.01
MGD,Central Downs,MGD07,QLD,QLD,9378817.00,24861.00,0.27,0.01
FLB,Central Flinders,FLB06,SA,SA,961667.00,113411.00,11.79,0.07
