Year,Count,Cumulative
1873,1,1
1874,1,2
1876,1,3
1879,1,4
1880,1,5
1881,1,6
1882,3,9
1883,2,11
1884,3,14
1885,2,16
1886,1,17
1887,2,19
1888,2,21
1889,1,22
1890,5,27
1891,5,32
1892,10,42
1893,14,56
1894,3,59
1895,2,61
1896,7,68
1897,4,72
1898,10,82
1899,18,100
1900,7,107
1901,9,116
1902,2,118
1903,5,123
1904,8,131
1905,22,153
1906,7,160
1907,13,173
1908,19,192
1909,24,216
1910,16,232
1911,17,249
1912,23,272
1913,14,286
1914,23,309
1915,22,331
1916,78,409
1917,93,502
1918,17,519
1919,113,632
1920,6,638
1921,10,648
1922,9,657
1923,12,669
1924,10,679
1925,3,682
1926,9,691
1927,10,701
1928,24,725
1929,26,751
1930,22,773
1931,7,780
1932,18,798
1933,4,802
1934,13,815
1935,3,818
1936,15,833
1937,10,843
1938,39,882
1939,20,902
1940,11,913
1941,10,923
1942,7,930
1943,2,932
1944,3,935
1945,9,944
1946,7,951
1947,5,956
1948,10,966
1949,10,976
1950,13,989
1951,241,1230
1952,21,1251
1953,14,1265
1954,26,1291
1955,8,1299
1956,37,1336
1957,56,1392
1958,30,1422
1959,16,1438
1960,36,1474
1961,32,1506
1962,37,1543
1963,66,1609
1964,34,1643
1965,41,1684
1966,133,1817
1967,93,1910
1968,62,1972
1969,63,2035
1970,82,2117
1971,114,2231
1972,62,2293
1973,72,2365
1974,94,2459
1975,91,2550
1976,128,2678
1977,76,2754
1978,90,2844
1979,666,3510
1980,77,3587
1981,115,3702
1982,339,4041
1983,380,4421
1984,327,4748
1985,64,4812
1986,268,5080
1987,428,5508
1988,191,5699
1989,175,5874
1990,322,6196
1991,213,6409
1992,439,6848
1993,298,7146
1994,160,7306
1995,114,7420
1996,206,7626
1997,277,7903
1998,176,8079
1999,274,8353
2000,292,8645
2001,312,8957
2002,447,9404
2003,359,9763
2004,292,10055
2005,397,10452
2006,270,10722
2007,220,10942
2008,243,11185
2009,301,11486
2010,446,11932
2011,730,12662
2012,279,12941
2013,264,13205
2014,141,13346
2015,102,13448
2016,128,13576
2017,79,13655
2018,61,13716
2019,41,13757
2020,78,13835
2021,104,13939
2022,105,14044
2023,117,14161
2024,51,14212
Grand Total,14492,28704
